device,latency,packet_loss,bgp_flaps,throughput_gbps,label
Bangalore-Core-02,18.58042258542989,0.26136822260506154,0,46.42240754380129,normal
Mumbai-Core-01,24.27654548034432,0.11280639455581622,0,41.06743002995028,normal
Bangalore-Core-02,18.521478389277057,0.21671998865333622,0,41.092120009435114,normal
Delhi-Edge-05,23.244285454830454,0.11733793049916613,0,49.05309954122551,normal
Delhi-Edge-05,18.698557095582892,0.283285165039689,0,39.87553480296776,normal
NYC-Peering-01,18.917302410589166,0.22906505643830807,0,50.999105915904764,normal
Bangalore-Core-02,21.43305044291402,0.18788915271559076,0,44.75674398152741,normal
Chennai-Link-03,19.04938725698605,0.18923409281425002,0,46.48434005241789,normal
Mumbai-Core-01,15.705434785126457,0.27873200104045365,0,45.303993192272095,normal
NYC-Peering-01,19.30240750709852,0.1152497347394838,0,45.74713655859106,normal
NYC-Peering-01,24.31607529766633,0.1931675607273332,0,43.22262289090183,normal
Bangalore-Core-02,20.308565711886857,0.03190108959687884,0,51.076546098899556,normal
Chennai-Link-03,29.168551411070432,0.00860939080557771,0,52.03010589396202,normal
Bangalore-Core-02,20.38959076997349,0.06300234109812561,0,46.60247031737351,normal
Chennai-Link-03,17.013736731521977,0.2801342590377455,0,50.40961925991739,normal
Chennai-Link-03,19.34435554913203,0.06329008662866349,0,52.147124327532204,normal
Mumbai-Core-01,22.26865170903027,0.1856862701736169,0,45.76176189166315,normal
NYC-Peering-01,15.910903167121266,0.03225412453822074,0,42.53879239595074,normal
NYC-Peering-01,15.827738338087187,0.11599553452231315,0,47.373719130196235,normal
NYC-Peering-01,15.298898911721281,0.20287793514240715,0,44.210720859245896,normal
Bangalore-Core-02,24.21072188632086,0.021016016580686747,0,45.17675281361982,normal
Mumbai-Core-01,19.421568435944838,0.1388526202711428,0,44.30848270627043,normal
Chennai-Link-03,25.30898373465334,0.29194476061044916,0,41.932105806655066,normal
Delhi-Edge-05,18.653563905630836,0.21648875913799265,0,41.50960367232078,normal
Delhi-Edge-05,15.523923167654644,0.00558556307991761,0,47.84009811187903,normal
NYC-Peering-01,18.70201083748729,0.13321116168803496,0,53.3561060370045,normal
Bangalore-Core-02,16.377495837394235,0.10687595176446403,0,43.1448616478575,normal
Chennai-Link-03,16.179452512400452,0.1054192481406446,0,49.34220306694073,normal
NYC-Peering-01,23.186534609154734,0.07119151748941158,0,48.8426647980625,normal
Mumbai-Core-01,16.892498732462077,0.03238042850842817,0,44.76551787560823,normal
Mumbai-Core-01,17.044366023878723,0.05620117020536971,0,43.49592449696434,normal
Mumbai-Core-01,18.85013485563219,0.1667303857506937,0,47.79446970604813,normal
Bangalore-Core-02,18.706495834052216,0.16575350080376644,0,46.336381636487886,normal
Bangalore-Core-02,22.39563035540147,0.1460776075103978,0,47.01179411778694,normal
Bangalore-Core-02,19.75940309926512,0.25228953190560516,0,55.49154153775205,normal
NYC-Peering-01,25.549915018426415,0.1681979623529459,0,50.986149603198264,normal
